episode,episode_mean_reward,episode_total_reward
385,-2.0500000000000003,-16.400000000000002
386,1.95,5.85
387,5.0,5.0
388,-2.0500000000000003,-16.400000000000002
389,-1.2999999999999998,-10.399999999999999
390,-2.0500000000000003,-16.400000000000002
391,-1.2999999999999998,-10.399999999999999
392,-1.6749999999999998,-13.399999999999999
393,1.3785714285714286,9.65
394,-2.0500000000000003,-16.400000000000002
395,1.7,6.8
396,-1.2999999999999998,-10.399999999999999
397,1.95,5.85
398,5.0,5.0
399,1.95,5.85
400,1.55,7.75
401,-2.0500000000000003,-16.400000000000002
402,-2.0500000000000003,-16.400000000000002
403,-0.5499999999999999,-4.3999999999999995
404,5.0,5.0
405,-1.6749999999999998,-13.399999999999999
406,1.95,5.85
407,-2.0500000000000003,-16.400000000000002
408,-0.9249999999999999,-7.3999999999999995
409,-3.0500000000000003,-24.400000000000002
410,-2.0500000000000003,-16.400000000000002
411,-2.0500000000000003,-16.400000000000002
412,-1.2999999999999998,-10.399999999999999
413,-2.0500000000000003,-16.400000000000002
414,-3.0500000000000003,-24.400000000000002
415,-2.0500000000000003,-16.400000000000002
416,-2.0500000000000003,-16.400000000000002
417,1.95,5.85
418,-2.0500000000000003,-16.400000000000002
419,5.0,5.0
420,1.95,5.85
421,-2.0500000000000003,-16.400000000000002
422,-2.0500000000000003,-16.400000000000002
423,-2.0500000000000003,-16.400000000000002
424,1.95,5.85
425,-1.6749999999999998,-13.399999999999999
426,-2.0500000000000003,-16.400000000000002
427,-2.0500000000000003,-16.400000000000002
428,-2.0500000000000003,-16.400000000000002
429,-2.0500000000000003,-16.400000000000002
430,1.95,5.85
431,1.95,5.85
432,-2.0500000000000003,-16.400000000000002
433,-2.0500000000000003,-16.400000000000002
434,-3.0500000000000003,-24.400000000000002
435,-2.0500000000000003,-16.400000000000002
436,5.0,5.0
437,-1.2999999999999998,-10.399999999999999
438,1.7,6.8
439,-2.0500000000000003,-16.400000000000002
440,-2.0500000000000003,-16.400000000000002
441,5.0,5.0
442,1.95,5.85
443,-2.0500000000000003,-16.400000000000002
444,1.7,6.8
445,-2.0500000000000003,-16.400000000000002
446,1.95,5.85
447,-1.6749999999999998,-13.399999999999999
448,-2.0500000000000003,-16.400000000000002
449,-2.0500000000000003,-16.400000000000002
450,1.95,5.85
451,5.0,5.0
452,-2.0500000000000003,-16.400000000000002
453,-2.0500000000000003,-16.400000000000002
454,1.95,5.85
455,1.95,5.85
456,-2.0500000000000003,-16.400000000000002
457,-2.0500000000000003,-16.400000000000002
458,-2.0500000000000003,-16.400000000000002
459,-2.0500000000000003,-16.400000000000002
460,-2.0500000000000003,-16.400000000000002
461,-3.0500000000000003,-24.400000000000002
462,5.0,5.0
463,1.7,6.8
464,-2.0500000000000003,-16.400000000000002
465,-2.0500000000000003,-16.400000000000002
466,1.95,5.85
467,1.95,5.85
468,-1.6749999999999998,-13.399999999999999
469,1.55,7.75
470,-2.0500000000000003,-16.400000000000002
471,1.7,6.8
472,-2.0500000000000003,-16.400000000000002
473,-2.0500000000000003,-16.400000000000002
474,5.0,5.0
475,0.20000000000000007,1.6000000000000005
476,-2.0500000000000003,-16.400000000000002
477,-2.0500000000000003,-16.400000000000002
478,1.3250000000000002,10.600000000000001
479,-2.0500000000000003,-16.400000000000002
480,-2.0500000000000003,-16.400000000000002
481,5.0,5.0
482,1.95,5.85
483,-1.6749999999999998,-13.399999999999999
484,-1.2999999999999998,-10.399999999999999
485,-1.2999999999999998,-10.399999999999999
486,1.95,5.85
487,-2.0500000000000003,-16.400000000000002
488,-2.0500000000000003,-16.400000000000002
489,-2.0500000000000003,-16.400000000000002
490,-2.0500000000000003,-16.400000000000002
491,1.95,5.85
492,-2.0500000000000003,-16.400000000000002
493,5.0,5.0
494,-3.0500000000000003,-24.400000000000002
495,5.0,5.0
496,-2.0500000000000003,-16.400000000000002
497,1.7,6.8
498,-2.0500000000000003,-16.400000000000002
499,1.95,5.85
500,-2.0500000000000003,-16.400000000000002
501,-2.0500000000000003,-16.400000000000002
502,-1.6749999999999998,-13.399999999999999
503,-2.0500000000000003,-16.400000000000002
504,1.95,5.85
505,-0.17499999999999993,-1.3999999999999995
506,1.95,5.85
507,1.55,7.75
508,-2.0500000000000003,-16.400000000000002
509,1.95,5.85
510,1.7,6.8
511,1.7,6.8
512,-3.0500000000000003,-24.400000000000002
513,-2.0500000000000003,-16.400000000000002
514,-2.0500000000000003,-16.400000000000002
515,1.95,5.85
516,-2.0500000000000003,-16.400000000000002
517,1.7,6.8
518,1.95,5.85
519,5.0,5.0
520,1.95,5.85
521,-1.6749999999999998,-13.399999999999999
522,-2.0500000000000003,-16.400000000000002
523,-2.0500000000000003,-16.400000000000002
524,1.95,5.85
525,-2.0500000000000003,-16.400000000000002
526,-1.6749999999999998,-13.399999999999999
527,5.0,5.0
528,1.95,5.85
529,-3.0500000000000003,-24.400000000000002
530,-2.0500000000000003,-16.400000000000002
531,-2.0500000000000003,-16.400000000000002
532,1.95,5.85
533,-2.0500000000000003,-16.400000000000002
534,1.95,5.85
535,1.3250000000000002,10.600000000000001
536,-2.0500000000000003,-16.400000000000002
537,1.95,5.85
538,-2.0500000000000003,-16.400000000000002
539,1.95,5.85
540,-2.0500000000000003,-16.400000000000002
541,1.95,5.85
542,-2.0500000000000003,-16.400000000000002
543,-2.0500000000000003,-16.400000000000002
544,-0.17499999999999993,-1.3999999999999995
545,1.95,5.85
546,-2.0500000000000003,-16.400000000000002
547,-2.0500000000000003,-16.400000000000002
548,5.0,5.0
549,-1.6749999999999998,-13.399999999999999
550,-2.0500000000000003,-16.400000000000002
551,-2.0500000000000003,-16.400000000000002
552,-2.0500000000000003,-16.400000000000002
553,1.55,7.75
554,-2.0500000000000003,-16.400000000000002
555,-3.0500000000000003,-24.400000000000002
556,1.95,5.85
557,-1.6749999999999998,-13.399999999999999
558,-2.0500000000000003,-16.400000000000002
559,-2.0500000000000003,-16.400000000000002
560,-2.0500000000000003,-16.400000000000002
561,5.0,5.0
562,-2.0500000000000003,-16.400000000000002
563,5.0,5.0
564,1.3785714285714286,9.65
565,1.55,7.75
566,1.7,6.8
567,-2.0500000000000003,-16.400000000000002
568,1.7,6.8
569,-2.0500000000000003,-16.400000000000002
570,5.0,5.0
571,-2.0500000000000003,-16.400000000000002
572,-1.6749999999999998,-13.399999999999999
573,1.7,6.8
574,-3.0500000000000003,-24.400000000000002
575,1.95,5.85
576,-2.0500000000000003,-16.400000000000002
577,-2.0500000000000003,-16.400000000000002
578,-2.0500000000000003,-16.400000000000002
579,-2.0500000000000003,-16.400000000000002
580,-2.0500000000000003,-16.400000000000002
581,-2.0500000000000003,-16.400000000000002
582,-3.0500000000000003,-24.400000000000002
583,-2.0500000000000003,-16.400000000000002
584,-3.0500000000000003,-24.400000000000002
585,5.0,5.0
586,1.7,6.8
587,5.0,5.0
588,-2.0500000000000003,-16.400000000000002
589,1.95,5.85
590,-2.0500000000000003,-16.400000000000002
591,-2.0500000000000003,-16.400000000000002
592,1.95,5.85
593,-3.0500000000000003,-24.400000000000002
594,-2.0500000000000003,-16.400000000000002
595,5.0,5.0
596,-2.0500000000000003,-16.400000000000002
597,-3.0500000000000003,-24.400000000000002
598,-2.0500000000000003,-16.400000000000002
599,-3.0500000000000003,-24.400000000000002
600,-1.2999999999999998,-10.399999999999999
601,-3.0500000000000003,-24.400000000000002
602,-2.0500000000000003,-16.400000000000002
603,-2.0500000000000003,-16.400000000000002
604,5.0,5.0
605,-2.0500000000000003,-16.400000000000002
606,-2.0500000000000003,-16.400000000000002
607,-1.2999999999999998,-10.399999999999999
608,5.0,5.0
609,-2.0500000000000003,-16.400000000000002
610,-2.0500000000000003,-16.400000000000002
611,5.0,5.0
612,-2.0500000000000003,-16.400000000000002
613,1.7,6.8
614,-2.0500000000000003,-16.400000000000002
615,-2.0500000000000003,-16.400000000000002
616,1.55,7.75
617,-2.0500000000000003,-16.400000000000002
618,-2.0500000000000003,-16.400000000000002
619,5.0,5.0
620,5.0,5.0
621,-1.6749999999999998,-13.399999999999999
622,1.95,5.85
623,1.95,5.85
624,5.0,5.0
625,-3.0500000000000003,-24.400000000000002
626,-1.6749999999999998,-13.399999999999999
627,-3.0500000000000003,-24.400000000000002
628,-2.0500000000000003,-16.400000000000002
629,-3.0500000000000003,-24.400000000000002
630,-2.0500000000000003,-16.400000000000002
631,-2.0500000000000003,-16.400000000000002
632,-2.0500000000000003,-16.400000000000002
633,-3.0500000000000003,-24.400000000000002
634,-2.0500000000000003,-16.400000000000002
635,-2.0500000000000003,-16.400000000000002
636,5.0,5.0
637,-2.0500000000000003,-16.400000000000002
638,5.0,5.0
639,-2.0500000000000003,-16.400000000000002
640,5.0,5.0
641,1.95,5.85
642,-2.0500000000000003,-16.400000000000002
643,-2.0500000000000003,-16.400000000000002
644,5.0,5.0
645,-2.0500000000000003,-16.400000000000002
646,-3.0500000000000003,-24.400000000000002
647,-2.0500000000000003,-16.400000000000002
648,-2.0500000000000003,-16.400000000000002
649,-2.0500000000000003,-16.400000000000002
650,-2.0500000000000003,-16.400000000000002
651,-3.0500000000000003,-24.400000000000002
652,-2.0500000000000003,-16.400000000000002
653,-1.6749999999999998,-13.399999999999999
654,-3.0500000000000003,-24.400000000000002
655,-2.0500000000000003,-16.400000000000002
656,1.95,5.85
657,1.95,5.85
658,5.0,5.0
659,-1.2999999999999998,-10.399999999999999
660,-1.6749999999999998,-13.399999999999999
661,-2.0500000000000003,-16.400000000000002
662,-2.0500000000000003,-16.400000000000002
663,5.0,5.0
664,5.0,5.0
665,1.95,5.85
666,-2.0500000000000003,-16.400000000000002
667,-3.0500000000000003,-24.400000000000002
668,-1.2999999999999998,-10.399999999999999
669,-0.9249999999999999,-7.3999999999999995
670,1.95,5.85
671,1.95,5.85
672,-2.0500000000000003,-16.400000000000002
673,-2.0500000000000003,-16.400000000000002
674,1.55,7.75
675,1.95,5.85
676,-0.9249999999999999,-7.3999999999999995
677,5.0,5.0
678,1.95,5.85
679,-2.0500000000000003,-16.400000000000002
680,1.7,6.8
681,-2.0500000000000003,-16.400000000000002
682,-2.0500000000000003,-16.400000000000002
683,1.95,5.85
684,-2.0500000000000003,-16.400000000000002
685,-2.0500000000000003,-16.400000000000002
686,5.0,5.0
687,5.0,5.0
688,5.0,5.0
689,-2.0500000000000003,-16.400000000000002
690,-2.0500000000000003,-16.400000000000002
691,1.7,6.8
692,1.7,6.8
693,5.0,5.0
694,5.0,5.0
695,1.95,5.85
696,1.7,6.8
697,-2.0500000000000003,-16.400000000000002
698,-2.0500000000000003,-16.400000000000002
699,1.7,6.8
700,-3.0500000000000003,-24.400000000000002
701,-0.9249999999999999,-7.3999999999999995
702,1.95,5.85
703,-2.0500000000000003,-16.400000000000002
704,5.0,5.0
705,5.0,5.0
706,1.7,6.8
707,-3.0500000000000003,-24.400000000000002
708,-3.0500000000000003,-24.400000000000002
709,-2.0500000000000003,-16.400000000000002
710,-2.0500000000000003,-16.400000000000002
711,-2.0500000000000003,-16.400000000000002
712,5.0,5.0
713,-2.0500000000000003,-16.400000000000002
714,-1.6749999999999998,-13.399999999999999
715,-3.0500000000000003,-24.400000000000002
716,5.0,5.0
717,5.0,5.0
718,1.95,5.85
719,5.0,5.0
720,-3.0500000000000003,-24.400000000000002
721,-2.0500000000000003,-16.400000000000002
722,1.55,7.75
723,-2.0500000000000003,-16.400000000000002
724,-2.0500000000000003,-16.400000000000002
725,1.7,6.8
726,-2.0500000000000003,-16.400000000000002
727,-2.0500000000000003,-16.400000000000002
728,1.95,5.85
729,-3.0500000000000003,-24.400000000000002
730,5.0,5.0
731,1.7,6.8
732,-3.0500000000000003,-24.400000000000002
733,-2.0500000000000003,-16.400000000000002
734,-2.0500000000000003,-16.400000000000002
735,-3.0500000000000003,-24.400000000000002
736,-2.0500000000000003,-16.400000000000002
737,5.0,5.0
738,-2.0500000000000003,-16.400000000000002
739,5.0,5.0
740,-2.0500000000000003,-16.400000000000002
741,5.0,5.0
742,1.95,5.85
743,5.0,5.0
744,-3.0500000000000003,-24.400000000000002
745,-3.0500000000000003,-24.400000000000002
746,1.95,5.85
747,1.95,5.85
748,-2.0500000000000003,-16.400000000000002
749,-1.6749999999999998,-13.399999999999999
750,1.95,5.85
751,-2.0500000000000003,-16.400000000000002
752,-2.0500000000000003,-16.400000000000002
753,-2.0500000000000003,-16.400000000000002
754,1.3785714285714286,9.65
755,1.95,5.85
756,5.0,5.0
757,5.0,5.0
758,1.95,5.85
759,-2.0500000000000003,-16.400000000000002
760,1.95,5.85
761,-2.0500000000000003,-16.400000000000002
762,-2.0500000000000003,-16.400000000000002
763,1.95,5.85
764,5.0,5.0
765,1.95,5.85
766,-2.0500000000000003,-16.400000000000002
767,-3.0500000000000003,-24.400000000000002
768,1.95,5.85
769,-2.0500000000000003,-16.400000000000002
770,1.7,6.8
771,1.45,8.7
772,-2.0500000000000003,-16.400000000000002
773,5.0,5.0
774,1.55,7.75
775,-0.9249999999999999,-7.3999999999999995
776,-2.0500000000000003,-16.400000000000002
777,-2.0500000000000003,-16.400000000000002
778,1.45,8.7
779,-2.0500000000000003,-16.400000000000002
780,-2.0500000000000003,-16.400000000000002
781,-2.0500000000000003,-16.400000000000002
782,-2.0500000000000003,-16.400000000000002
783,-3.0500000000000003,-24.400000000000002
784,1.95,5.85
785,-2.0500000000000003,-16.400000000000002
786,-2.0500000000000003,-16.400000000000002
787,-1.2999999999999998,-10.399999999999999
788,-2.0500000000000003,-16.400000000000002
789,-1.6749999999999998,-13.399999999999999
790,-2.0500000000000003,-16.400000000000002
791,-2.0500000000000003,-16.400000000000002
792,-2.0500000000000003,-16.400000000000002
793,-3.0500000000000003,-24.400000000000002
794,-2.0500000000000003,-16.400000000000002
795,1.95,5.85
796,1.7,6.8
797,-0.9249999999999999,-7.3999999999999995
798,1.55,7.75
799,5.0,5.0
800,-2.0500000000000003,-16.400000000000002
801,5.0,5.0
802,1.95,5.85
803,1.95,5.85
804,-2.0500000000000003,-16.400000000000002
805,-2.0500000000000003,-16.400000000000002
806,-2.0500000000000003,-16.400000000000002
807,1.95,5.85
808,5.0,5.0
809,-2.0500000000000003,-16.400000000000002
810,1.55,7.75
811,-3.0500000000000003,-24.400000000000002
812,5.0,5.0
813,1.95,5.85
814,-2.0500000000000003,-16.400000000000002
815,-2.0500000000000003,-16.400000000000002
816,-3.0500000000000003,-24.400000000000002
817,5.0,5.0
818,-2.0500000000000003,-16.400000000000002
819,-2.0500000000000003,-16.400000000000002
820,-2.0500000000000003,-16.400000000000002
821,-1.6749999999999998,-13.399999999999999
822,-2.0500000000000003,-16.400000000000002
