metric,value
episodes,800.0
mean,-0.21078824404761917
median,-2.1
std_dev,2.7803842346609526
variance,7.73053649235117
min,-3.1000000000000005
max,5.0
25pct,-2.1
75pct,2.2666666666666666
90pct,5.0
last50_mean,-0.4151000000000002
