metric,value
episodes,1200.0
mean,-0.20291369047619065
median,-2.0500000000000003
std_dev,2.693942555303501
variance,7.257326491275156
min,-3.0500000000000003
max,5.0
25pct,-2.0500000000000003
75pct,1.95
90pct,5.0
last50_mean,-0.2955000000000001
