episode,episode_mean_reward,episode_total_reward
75,-3.1000000000000005,-24.800000000000004
76,5.0,5.0
77,-2.1,-16.8
78,5.0,5.0
79,2.2666666666666666,6.8
80,-2.1,-16.8
81,-2.1,-16.8
82,1.72,8.6
83,2.2666666666666666,6.8
84,-3.1000000000000005,-24.800000000000004
85,-2.1,-16.8
86,5.0,5.0
87,5.0,5.0
88,-3.1000000000000005,-24.800000000000004
89,-2.1,-16.8
90,-2.1,-16.8
91,5.0,5.0
92,5.0,5.0
93,1.5833333333333333,9.5
94,-2.1,-16.8
95,-2.1,-16.8
96,5.0,5.0
97,-2.1,-16.8
98,5.0,5.0
99,-2.1,-16.8
100,-2.1,-16.8
101,-3.1000000000000005,-24.800000000000004
102,-2.1,-16.8
103,-3.1000000000000005,-24.800000000000004
104,-2.1,-16.8
105,2.2666666666666666,6.8
106,2.2666666666666666,6.8
107,-3.1000000000000005,-24.800000000000004
108,1.925,7.7
109,-3.1000000000000005,-24.800000000000004
110,-3.1000000000000005,-24.800000000000004
111,-2.1,-16.8
112,5.0,5.0
113,-1.7249999999999999,-13.799999999999999
114,-2.1,-16.8
115,-2.1,-16.8
116,2.2666666666666666,6.8
117,-1.7249999999999999,-13.799999999999999
118,5.0,5.0
119,-3.1000000000000005,-24.800000000000004
120,-2.1,-16.8
121,-2.1,-16.8
122,2.2666666666666666,6.8
123,-3.1000000000000005,-24.800000000000004
124,-2.1,-16.8
125,-3.1000000000000005,-24.800000000000004
126,-2.1,-16.8
127,5.0,5.0
128,-2.1,-16.8
129,-3.1000000000000005,-24.800000000000004
130,5.0,5.0
131,2.2666666666666666,6.8
132,-2.1,-16.8
133,-2.1,-16.8
134,2.2666666666666666,6.8
135,-2.1,-16.8
136,-2.1,-16.8
137,-2.1,-16.8
138,5.0,5.0
139,-3.1000000000000005,-24.800000000000004
140,1.4857142857142858,10.4
141,5.0,5.0
142,-3.1000000000000005,-24.800000000000004
143,-3.1000000000000005,-24.800000000000004
144,5.0,5.0
145,2.2666666666666666,6.8
146,5.0,5.0
147,-3.1000000000000005,-24.800000000000004
148,-2.1,-16.8
149,5.0,5.0
150,-2.1,-16.8
151,-3.1000000000000005,-24.800000000000004
152,-2.1,-16.8
153,-2.1,-16.8
154,-2.1,-16.8
155,2.2666666666666666,6.8
156,-2.1,-16.8
157,-3.1000000000000005,-24.800000000000004
158,5.0,5.0
159,-2.1,-16.8
160,-0.9750000000000001,-7.800000000000001
161,-2.1,-16.8
162,1.925,7.7
163,1.4125,11.3
164,-2.1,-16.8
165,5.0,5.0
166,-0.9750000000000001,-7.800000000000001
167,-2.1,-16.8
168,5.0,5.0
169,-2.1,-16.8
170,-3.1000000000000005,-24.800000000000004
171,-3.1000000000000005,-24.800000000000004
172,1.4857142857142858,10.4
173,-2.1,-16.8
174,-1.7249999999999999,-13.799999999999999
175,-3.1000000000000005,-24.800000000000004
176,-2.1,-16.8
177,1.5833333333333333,9.5
178,-2.1,-16.8
179,5.0,5.0
180,-2.1,-16.8
181,-1.7249999999999999,-13.799999999999999
182,1.72,8.6
183,2.2666666666666666,6.8
184,-1.7249999999999999,-13.799999999999999
185,-2.1,-16.8
186,-2.1,-16.8
187,5.0,5.0
188,2.2666666666666666,6.8
189,-3.1000000000000005,-24.800000000000004
190,5.0,5.0
191,-2.1,-16.8
192,-2.1,-16.8
193,2.2666666666666666,6.8
194,-2.1,-16.8
195,-2.1,-16.8
196,-2.1,-16.8
197,-1.7249999999999999,-13.799999999999999
198,2.2666666666666666,6.8
199,-1.7249999999999999,-13.799999999999999
200,2.2666666666666666,6.8
201,-2.1,-16.8
202,2.2666666666666666,6.8
203,-2.1,-16.8
204,2.2666666666666666,6.8
205,-2.1,-16.8
206,-1.3499999999999999,-10.799999999999999
207,-3.1000000000000005,-24.800000000000004
208,-2.1,-16.8
209,5.0,5.0
210,-2.1,-16.8
211,-1.7249999999999999,-13.799999999999999
212,1.925,7.7
213,1.72,8.6
214,5.0,5.0
215,-3.1000000000000005,-24.800000000000004
216,-2.1,-16.8
217,5.0,5.0
218,-2.1,-16.8
219,-2.1,-16.8
220,-2.1,-16.8
221,5.0,5.0
222,1.925,7.7
223,-3.1000000000000005,-24.800000000000004
224,2.2666666666666666,6.8
225,-2.1,-16.8
226,-3.1000000000000005,-24.800000000000004
227,-2.1,-16.8
228,5.0,5.0
229,2.2666666666666666,6.8
230,1.72,8.6
231,-3.1000000000000005,-24.800000000000004
232,2.2666666666666666,6.8
233,-2.1,-16.8
234,-2.1,-16.8
235,-2.1,-16.8
236,-2.1,-16.8
237,1.5833333333333333,9.5
238,-2.1,-16.8
239,-2.1,-16.8
240,-2.1,-16.8
241,2.2666666666666666,6.8
242,5.0,5.0
243,5.0,5.0
244,-3.1000000000000005,-24.800000000000004
245,-2.1,-16.8
246,-1.3499999999999999,-10.799999999999999
247,-2.1,-16.8
248,-2.1,-16.8
249,5.0,5.0
250,-2.1,-16.8
251,-3.1000000000000005,-24.800000000000004
252,5.0,5.0
253,2.2666666666666666,6.8
254,-1.7249999999999999,-13.799999999999999
255,-2.1,-16.8
256,-1.7249999999999999,-13.799999999999999
257,1.72,8.6
258,2.2666666666666666,6.8
259,5.0,5.0
260,5.0,5.0
261,1.72,8.6
262,-3.1000000000000005,-24.800000000000004
263,-2.1,-16.8
264,2.2666666666666666,6.8
265,-2.1,-16.8
266,-3.1000000000000005,-24.800000000000004
267,-1.3499999999999999,-10.799999999999999
268,-3.1000000000000005,-24.800000000000004
269,5.0,5.0
270,5.0,5.0
271,-3.1000000000000005,-24.800000000000004
272,5.0,5.0
273,5.0,5.0
274,-2.1,-16.8
275,-2.1,-16.8
276,-3.1000000000000005,-24.800000000000004
277,1.925,7.7
278,-1.3499999999999999,-10.799999999999999
279,-2.1,-16.8
280,2.2666666666666666,6.8
281,-1.7249999999999999,-13.799999999999999
282,2.2666666666666666,6.8
283,-2.1,-16.8
284,-2.1,-16.8
285,2.2666666666666666,6.8
286,-3.1000000000000005,-24.800000000000004
287,5.0,5.0
288,-2.1,-16.8
289,-2.1,-16.8
290,-2.1,-16.8
291,-3.1000000000000005,-24.800000000000004
292,2.2666666666666666,6.8
293,-2.1,-16.8
294,2.2666666666666666,6.8
295,-2.1,-16.8
296,1.925,7.7
297,-3.1000000000000005,-24.800000000000004
298,-2.1,-16.8
299,-1.3499999999999999,-10.799999999999999
300,-2.1,-16.8
301,-2.1,-16.8
302,-2.1,-16.8
303,5.0,5.0
304,2.2666666666666666,6.8
305,-2.1,-16.8
306,-2.1,-16.8
307,2.2666666666666666,6.8
308,5.0,5.0
309,2.2666666666666666,6.8
310,2.2666666666666666,6.8
311,-2.1,-16.8
312,-0.9750000000000001,-7.800000000000001
313,-2.1,-16.8
314,2.2666666666666666,6.8
315,-2.1,-16.8
316,1.925,7.7
317,-2.1,-16.8
318,-3.1000000000000005,-24.800000000000004
319,2.2666666666666666,6.8
320,-2.1,-16.8
321,-2.1,-16.8
322,1.925,7.7
323,-3.1000000000000005,-24.800000000000004
324,2.2666666666666666,6.8
325,2.2666666666666666,6.8
326,-2.1,-16.8
327,-1.7249999999999999,-13.799999999999999
328,2.2666666666666666,6.8
329,-3.1000000000000005,-24.800000000000004
330,-3.1000000000000005,-24.800000000000004
331,-2.1,-16.8
332,-2.1,-16.8
333,-1.3499999999999999,-10.799999999999999
334,-2.1,-16.8
335,5.0,5.0
336,-2.1,-16.8
337,-2.1,-16.8
338,1.5833333333333333,9.5
339,-2.1,-16.8
